날짜,담당,업체,TF_GROUP,상세구분,결과,내용
0922,김재호,동행종합주류(양산하북),입고미회수,02 입고미회수실수요처,입고미회수,26년 입고미회수 7월30일 아이켄두잇 2매 입고 확인 현주소 하북면 순지리162-11 주소내 업체 이전 -> 490931 중복업체 확인
0922,김재호,롯데주류-경남직매장(양산북정),입고미회수,02 입고미회수실수요처,입고미회수,25-6년 입고미회수 25년 12월 7매 재입고 누락 26년 7월 (주)지피피 1매 -> 합계 8매 손민기프로 재입고 메일 발송
0922,김재호,블루인더스(양산어곡),기타,40 업무일지기타,경쟁사,일자 : 2026-09-22업체코드 : 532987업체명 : 블루인더스(양산어곡)제목 : [마케팅]블루인더스(양산어곡) 견적서계약형태 : PAL
0922,김재호,동행종합주류(양산소석),입고미회수,02 입고미회수실수요처,입고미회수,중복업체 처리 : 737851 등록
0922,김재호,양산농약종묘사(양산중부),입고미회수,02 입고미회수실수요처,입고미회수,입고미회수 사업장 : 517468 양산농약사 (물금)동일 업체 확인 자료수정 작성
0922,김재호,면장수 양산신기점,입고미회수,02 입고미회수실수요처,입고미회수,입고미회수면장수(음식점) 파렛트 입고 요청 등록건87오 6172 렉스톤 회수진행
0922,김재호,태남통상,입고미회수,02 입고미회수실수요처,입고미회수,"입고미회수 확인의건010-6687-3801 화주 에에컨, 냉장고외 현장 지연으로 10월 중순까지 보관 예상"
0922,김재호,엔제이(양산소토),수불관리,18 수불관리거래처,수불관리,엔제이 계약업체 등록 실수요처파손 파렛트 반납 등록건으로 N11 1매 87오6172 렉스톤 회수처리
0922,김재호,청담/마루바이오,수불관리,18 수불관리거래처,수불관리,중복업체 처리 요청의 건시수요처 회수 기사 확인 조동민프로 신규 공장건설시 건자재 초기 입고 이후 공장 건자재 외 파렛트 회수건 확인 중복 업체
0922,김재호,에스텍(양산유산),DRS일괄작성,,제외:상세없음,
0922,김재호,에스텍(양산유산),입고미회수,02 입고미회수실수요처,입고미회수,입고미회수 208946 씨앤에스포리마공장 내 담당자 없음 / 유선 통화시 파렛트 입고를 확인 할수없음.DRS 요청.
0922,김재호,에스텍(양산유산),DRS일괄작성,,제외:상세없음,
0922,김재호,에스텍(양산유산),DRS일괄작성,,제외:상세없음,
0922,김재호,우영사(양산어곡),DRS일괄작성,,제외:상세없음,
0922,김재호,우영사(양산어곡),입고미회수,02 입고미회수실수요처,입고미회수,입고미회수 업체 입고처 : 280212 HD현대이피26년 1월 폥버 업체 확인 입고건 DRS 요청.
0922,김재호,한솔종합상사(양산북정),직출-한솔종합상사(양산북정),40 업무일지기타,제외:상세전부기타(40),2026-09-22 08:29:02공 파렛트 회수 요청건 N11. 12매N1210매
0922,김재호,선플러스-금호석유화학(주),기타,40 업무일지기타,경쟁사,일자 : 2026-09-22업체코드 : 292583업체명 : 선플러스-금호석유화학(주)제목 : [마케팅]선플러스-금호석유화학(주) 견적서계약형태
0922,배종일,(W09) KH건설 / 방어동 1288,재고실사,17 재고실사거래처,재고실사,*실재고 없음
0922,배종일,(662759)덕하리 653(=덕하2차),재고실사,17 재고실사거래처,재고실사,"*현장 재고조사 방문-담당자-662759와 동일코드 이며, 종료된 현장-실재고 없음 확인"
0922,배종일,(W09)e편한세상서울산파크그란데,재고실사,17 재고실사거래처,재고실사,*현장 재고조사 방문-담당자-종료된 현장으로 입출회 없음-실재고 없음 확인
0922,배종일,울산축산농협육가공공장,수불관리,18 수불관리거래처,수불관리,*마감업무 진행-담당자-9월분 계산서 발행 완료
0922,배종일,엘에스이엔엠(주),수불관리,18 수불관리거래처,수불관리,*마감작업 진행-구자혁 팀장-9월 거래명세서 확인 완료-차주에 일괄적으로 계산서 발행 예정이며-따로 연락 주기로 협의함
0922,배종일,일삼(울산삼남면),재고실사,17 재고실사거래처,재고실사,"*유휴재고 확인 방문-담당자-공장내 재고조사 실시-원부적재분 45매, 공파렛트 28매 확인-류호준 기사 금일 회수 요청-회수 수량 확인 후 이상"
0922,박훈원,업무일지,기타,40 업무일지기타,제외:휴가,휴가(연차휴가)
